Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1,1917,2019,r,war,sam mendes,8.2,100.0
2,dunkirk,2017,pg-13,action,christopher nolan,8.475,78.41
3,apocalypse now,1979,r,war,francis ford coppola,8.775,76.38000000000001
4,u 571,2000,pg-13,war,jonathan mostow,6.525,75.82
5,american beauty,1999,r,drama,sam mendes,8.35,75.79
6,darkest hour,2017,pg-13,drama,joe wright,7.675000000000001,75.7
7,road to perdition,2002,r,crime,sam mendes,7.625,75.68
8,the dirty dozen,1967,nr,war,robert aldrich,7.699999999999999,75.67
9,miracle at st anna,2008,r,war,spike lee,4.8,75.58
10,tora tora tora,1970,g,war,"richard fleischer, kinji fukasaku, toshio masuda",6.25,75.51
11,dreamgirls,2006,pg-13,music,bill condon,7.2,75.51
12,the last of the mohicans,1992,r,war,michael mann,7.85,75.17
13,the prince of egypt,1998,pg,drama,"brenda chapman, steve hickner, simon wells",7.225,75.09
14,master and commander the far side of the world,2003,pg-13,drama,peter weir,7.825,75.02
15,life is beautiful,1997,pg-13,comedy,roberto benigni,7.725,74.98
16,skyfall,2012,pg-13,thriller,sam mendes,8.075,74.97
17,once upon a time in hollywood,2019,r,thriller,quentin tarantino,7.975,74.91
18,moulin rouge,2001,pg-13,romance,baz luhrmann,7.324999999999999,74.88
19,ford v ferrari,2019,pg-13,action,james mangold,8.35,74.87
20,the bourne ultimatum,2007,pg-13,action,paul greengrass,8.275,74.79
21,who framed roger rabbit,1988,pg,fantasy,robert zemeckis,8.275,74.78
22,ghost,1990,pg-13,thriller,jerry zucker,6.75,74.77000000000001
23,pocahontas,1995,g,romance,"mike gabriel, eric goldberg",6.175,74.75
24,the departed,2006,r,drama,martin scorsese,8.575,74.67
25,the pianist,2002,r,war,roman polanski,8.725,74.66000000000001
26,terminator 2 judgment day,1991,r,science fiction,james cameron,8.325,74.65
27,les misérables,2012,pg-13,drama,tom hooper,7.025,74.56
28,the revenant,2015,r,drama,alejandro g. iñárritu,7.725,74.42999999999999
29,the ghost and the darkness,1996,r,horror,stephen hopkins,5.8,74.38
30,as good as it gets,1997,pg-13,drama,james l. brooks,7.6,74.37
31,cold mountain,2003,r,romance,anthony minghella,7.1,74.35000000000001
32,we were soldiers,2002,r,war,randall wallace,6.775,74.32
33,born on the fourth of july,1989,r,drama,oliver stone,7.525,74.25
34,apollo 13,1995,pg,drama,ron howard,8.1,74.22999999999999
35,jojo rabbit,2019,pg-13,war,taika waititi,7.425,74.21
36,platoon,1986,r,war,oliver stone,8.475,74.17
37,three kings,1999,r,war,david o. russell,7.85,74.17
38,elizabeth the golden age,2007,pg-13,romance,shekhar kapur,5.35,74.17
39,evita,1996,pg,drama,alan parker,5.825,74.11999999999999
40,storks,2016,pg,comedy,"nicholas stoller, doug sweetland",6.4,74.07000000000001
41,the curious case of benjamin button,2008,pg-13,drama,david fincher,7.4,74.05000000000001
42,the girl with the dragon tattoo,2011,r,mystery,david fincher,7.725,74.00999999999999
43,the matrix,1999,r,science fiction,"lana wachowski, lilly wachowski",8.125,74.00999999999999
44,the social network,2010,pg-13,drama,david fincher,8.575,74.0
45,jfk,1991,r,drama,oliver stone,7.800000000000001,73.92999999999999
46,django unchained,2012,r,drama,quentin tarantino,8.375,73.9
47,the guns of navarone,1961,nr,war,j. lee thompson,7.8,73.89
48,rain man,1988,r,drama,barry levinson,7.775,73.88
49,the reader,2008,r,romance,stephen daldry,6.8,73.86
50,the longest day,1962,pg,war,"ken annakin, andrew marton, gerd oswald",7.800000000000001,73.83
51,men in black,1997,pg-13,science fiction,barry sonnenfeld,7.675,73.78
52,soul,2020,pg,fantasy,"pete docter, kemp powers",8.475,73.76
53,speed,1994,r,action,jan de bont,7.925,73.74000000000001
54,jurassic park,1993,pg-13,science fiction,steven spielberg,8.025,73.7
55,the grand budapest hotel,2014,r,drama,wes anderson,8.525,73.67
56,mad max fury road,2015,r,action,george miller,8.6,73.66
57,philadelphia,1993,pg-13,drama,jonathan demme,7.524999999999999,73.59
58,what dreams may come,1998,pg-13,romance,vincent ward,5.95,73.58
59,the shape of water,2017,r,fantasy,guillermo del toro,8.1,73.58
60,the imitation game,2014,pg-13,war,morten tyldum,8.025,73.58
61,pans labyrinth,2006,r,war,guillermo del toro,8.825,73.57000000000001
62,indiana jones and the last crusade,1989,pg-13,action,steven spielberg,7.75,73.57000000000001
63,spartacus,1960,pg-13,war,"stanley kubrick, anthony mann",8.375,73.54
64,flyboys,2006,pg-13,war,tony bill,5.3,73.50999999999999
