Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1,kung fu panda,2008,pg,action,"mark osborne, john stevenson",7.75,100.0
2,kung fu panda 2,2011,pg,comedy,jennifer yuh nelson,7.3,82.19999999999999
3,kung fu panda 3,2016,pg,comedy,"alessandro carloni, jennifer yuh nelson",7.324999999999999,79.45
4,the karate kid,2010,pg,action,harald zwart,6.375,78.69
5,hercules,2014,pg-13,action,brett ratner,5.575,78.42
6,jumanji the next level,2019,pg-13,fantasy,jake kasdan,6.65,77.63
7,mr  mrs smith,2005,pg-13,drama,doug liman,6.175,77.57
8,wanted,2008,r,action,timur bekmambetov,6.675,76.58
9,salt,2010,pg-13,thriller,phillip noyce,6.4,76.31
10,original sin,2001,r,mystery,michael cristofer,4.15,76.25999999999999
11,gone in sixty seconds,2000,pg-13,thriller,dominic sena,4.75,76.22
12,the tourist,2010,pg-13,thriller,florian henckel von donnersmarck,4.475,76.22
13,dracula untold,2014,pg-13,action,gary shore,4.800000000000001,76.19
14,ip man 4 the finale,2019,nr,drama,wilson yip,7.25,76.19
15,how to train your dragon,2010,pg,fantasy,"dean deblois, chris sanders",8.325,76.14999999999999
16,immortals,2011,r,drama,tarsem singh,5.375,75.89
17,ant man,2015,pg-13,science fiction,peyton reed,7.25,75.81
18,hop,2011,pg,comedy,tim hill,4.45,75.8
19,pirates of the caribbean the curse of the black pearl,2003,pg-13,action,gore verbinski,7.525,75.77000000000001
20,harry potter and the prisoner of azkaban,2004,pg,fantasy,alfonso cuarón,8.275,75.75
21,thor,2011,pg-13,action,kenneth branagh,6.8,75.74
22,ant man and the wasp,2018,pg-13,action,peyton reed,7.4,75.72
23,kingsman the golden circle,2017,r,action,matthew vaughn,5.8,75.72
24,the expendables 2,2012,r,thriller,simon west,6.199999999999999,75.68
25,shark tale,2004,pg,action,"bibo bergeron, vicky jenson, rob letterman",5.075,75.67
26,wreck it ralph,2012,pg,comedy,rich moore,7.725,75.64999999999999
27,free guy,2021,pg-13,science fiction,shawn levy,7.2,75.62
28,ice age the meltdown,2006,pg,comedy,carlos saldanha,6.25,75.61
29,divergent,2014,pg-13,action,neil burger,5.6,75.58
30,ferdinand,2017,pg,comedy,carlos saldanha,6.675,75.51
31,the bounty hunter,2010,pg-13,romance,andy tennant,3.725,75.5
32,the lost world jurassic park,1997,pg-13,action,steven spielberg,6.075,75.49
33,puss in boots,2011,pg,comedy,chris miller,7.074999999999999,75.48
34,percy jackson  the olympians the lightning thief,2010,pg,fantasy,chris columbus,5.4,75.44999999999999
35,how to train your dragon 2,2014,pg,fantasy,dean deblois,8.1,75.44
36,rambo iii,1988,r,war,peter macdonald,4.925,75.44
37,megamind,2010,pg,action,tom mcgrath,6.975,75.4
38,eat pray love,2010,pg-13,romance,ryan murphy,5.125,75.38
39,cars,2006,g,comedy,"john lasseter, joe ranft",7.225,75.38
40,london has fallen,2016,r,thriller,babak najafi,4.425,75.37
41,bridget jones the edge of reason,2004,r,romance,beeban kidron,4.800000000000001,75.35
42,sherlock holmes,2009,pg-13,action,guy ritchie,6.85,75.33999999999999
43,power rangers,2017,pg-13,science fiction,dean israelite,5.425,75.32
44,die hard with a vengeance,1995,r,thriller,john mctiernan,6.65,75.24
45,iron man,2008,pg-13,action,jon favreau,8.2,75.22999999999999
46,oblivion,2013,pg-13,action,joseph kosinski,6.075,75.22999999999999
47,the martian,2015,pg-13,science fiction,ridley scott,8.2,75.22999999999999
48,priest,2011,pg-13,fantasy,scott stewart,4.275,75.2
49,are we there yet,2005,pg,romance,brian levant,3.55,75.2
50,tropic thunder,2008,r,comedy,ben stiller,7.274999999999999,75.2
51,deep impact,1998,pg-13,action,mimi leder,5.225,75.19
52,entrapment,1999,pg-13,mystery,jon amiel,5.475,75.17
53,daddys home,2015,pg-13,comedy,sean anders,4.95,75.17
54,trolls,2016,pg,fantasy,"mike mitchell, walt dohrn",6.525,75.17
55,a bugs life,1998,g,comedy,"john lasseter, andrew stanton",7.775,75.14
56,mission impossible   rogue nation,2015,pg-13,action,christopher mcquarrie,7.875,75.13
57,planet of the apes,2001,pg-13,action,tim burton,5.2,75.11
58,captain america the winter soldier,2014,pg-13,science fiction,"anthony russo, joe russo",7.85,75.11
59,ace ventura when nature calls,1995,pg-13,comedy,steve oedekerk,4.825,75.09
60,moana,2016,pg,comedy,"ron clements, john musker, don hall",8.2,75.08
61,rush hour 2,2001,pg-13,comedy,brett ratner,5.825,75.07000000000001
62,resident evil retribution,2012,r,horror,paul w.s. anderson,4.45,75.05
63,the mummy returns,2001,pg-13,fantasy,stephen sommers,5.55,75.05
64,mission impossible,1996,pg-13,thriller,brian de palma,6.65,75.03
65,mr deeds,2002,pg-13,romance,steven brill,4.075,75.03
66,big mommas house 2,2006,pg-13,crime,john whitesell,3.625,75.02
67,inside out,2015,pg,comedy,"pete docter, ronnie del carmen",8.8,75.02
68,the flintstones,1994,pg,comedy,brian levant,4.1,75.01
69,mission impossible   fallout,2018,pg-13,action,christopher mcquarrie,8.375,74.98
70,national treasure,2004,pg,action,jon turteltaub,5.525,74.98
71,jason bourne,2016,pg-13,action,paul greengrass,6.075,74.97
72,case 39,2009,r,mystery,christian alvart,4.3,74.96000000000001
73,the angry birds movie,2016,pg,comedy,"clay kaytis, fergal reilly",5.3,74.96000000000001
74,journey 2 the mysterious island,2012,pg,science fiction,brad peyton,5.125,74.94
75,the tuxedo,2002,pg-13,science fiction,kevin donovan,4.050000000000001,74.92
76,hotel transylvania 2,2015,pg,fantasy,genndy tartakovsky,5.875,74.92
77,alien covenant,2017,r,thriller,ridley scott,6.4,74.92
78,bruce almighty,2003,pg-13,comedy,tom shadyac,5.725,74.91
79,hansel  gretel witch hunters,2013,r,horror,tommy wirkola,4.05,74.9
80,the greatest showman,2017,pg,drama,michael gracey,6.45,74.89
81,maze runner the scorch trials,2015,pg-13,action,wes ball,5.55,74.88
82,season of the witch,2011,pg-13,fantasy,dominic sena,3.7,74.88
83,spider man,2002,pg-13,action,sam raimi,7.75,74.88
84,valentines day,2010,pg-13,comedy,garry marshall,4.2,74.87
85,big daddy,1999,pg-13,comedy,dennis dugan,5.225,74.87
86,lucy,2014,r,action,luc besson,6.425,74.86
87,rambo first blood part ii,1985,r,action,george p. cosmatos,5.275,74.85000000000001
88,the hunger games catching fire,2013,pg-13,action,francis lawrence,7.875,74.83999999999999
89,the mask of zorro,1998,pg-13,action,martin campbell,7.025,74.83999999999999
90,hotel transylvania 3 summer vacation,2018,pg,fantasy,genndy tartakovsky,6.2,74.83999999999999
91,live free or die hard,2007,pg-13,thriller,len wiseman,7.199999999999999,74.83
92,ghost rider spirit of vengeance,2011,pg-13,fantasy,"mark neveldine, brian taylor",3.625,74.83
93,jurassic park iii,2001,pg-13,science fiction,joe johnston,5.3,74.83
94,2 fast 2 furious,2003,pg-13,action,john singleton,4.975,74.83
95,what lies beneath,2000,pg-13,drama,robert zemeckis,5.7,74.83
96,bad boys for life,2020,r,crime,"adil el arbi, bilall fallah",6.775,74.82
97,sex and the city,2008,r,comedy,michael patrick king,5.65,74.8
98,i am number four,2011,pg-13,science fiction,d.j. caruso,4.775,74.8
99,jaws 3 d,1983,pg,horror,joe alves,3.0,74.8
100,meet the fockers,2004,pg-13,comedy,jay roach,5.1,74.79
101,wonder woman,2017,pg-13,fantasy,patty jenkins,7.85,74.79
102,planes,2013,pg,comedy,klay hall,4.525,74.79
103,eraser,1996,r,mystery,chuck russell,5.55,74.78
104,spawn,1997,pg-13,horror,mark a.z. dippé,3.925,74.78
105,the day after tomorrow,2004,pg-13,action,roland emmerich,5.55,74.77000000000001
106,the sum of all fears,2002,pg-13,drama,phil alden robinson,5.8,74.77000000000001
107,charlies angels,2000,pg-13,action,mcg,5.85,74.77000000000001
108,ted 2,2015,r,comedy,seth macfarlane,5.475,74.75
109,war of the worlds,2005,pg-13,science fiction,steven spielberg,6.975,74.75
110,shazam,2019,pg-13,comedy,david f. sandberg,7.525,74.74
111,star wars episode iii   revenge of the sith,2005,pg-13,action,george lucas,7.449999999999999,74.74
112,sonic the hedgehog,2020,pg,action,jeff fowler,6.225,74.74
113,miss congeniality,2000,pg-13,comedy,donald petrie,5.3,74.74
114,transformers,2007,pg-13,science fiction,michael bay,6.425,74.72999999999999
115,the final destination,2009,r,horror,david r. ellis,4.125,74.72999999999999
116,war for the planet of the apes,2017,pg-13,war,matt reeves,8.05,74.72
117,prometheus,2012,r,science fiction,ridley scott,6.825,74.72
118,john wick chapter 2,2017,r,crime,chad stahelski,7.775,74.71
119,sherlock holmes a game of shadows,2011,pg-13,action,guy ritchie,6.325,74.71
120,ransom,1996,r,action,ron howard,6.7,74.71
121,rio 2,2014,g,comedy,carlos saldanha,5.675,74.7
122,star wars episode ii   attack of the clones,2002,pg,action,george lucas,6.275,74.7
123,wall·e,2008,g,science fiction,andrew stanton,8.875,74.69
124,batman begins,2005,pg-13,action,christopher nolan,7.85,74.69
125,fast  furious,2009,pg-13,action,justin lin,5.175,74.69
126,elysium,2013,r,action,neill blomkamp,6.4,74.69
127,rio,2011,g,comedy,carlos saldanha,6.775,74.68
128,max payne,2008,pg-13,crime,john moore,3.85,74.67
129,guardians of the galaxy,2014,pg-13,science fiction,james gunn,8.175,74.67
130,raya and the last dragon,2021,pg,fantasy,"don hall, carlos lópez estrada, paul briggs",7.95,74.65
131,charlie and the chocolate factory,2005,pg,fantasy,tim burton,7.300000000000001,74.64
132,tomb raider,2018,pg-13,fantasy,roar uthaug,5.675,74.64
133,inferno,2016,pg-13,mystery,ron howard,4.7,74.64
134,robin hood prince of thieves,1991,pg-13,drama,kevin reynolds,6.0,74.64
135,ratatouille,2007,g,comedy,"brad bird, jan pinkava",8.775,74.63
136,hitch,2005,pg-13,comedy,andy tennant,6.449999999999999,74.63
137,logan,2017,r,drama,james mangold,8.225,74.62
138,jack reacher never go back,2016,pg-13,thriller,edward zwick,5.15,74.62
139,resident evil afterlife,2010,r,action,paul w.s. anderson,4.425,74.61
140,click,2006,pg-13,drama,frank coraci,5.15,74.61
141,identity thief,2013,r,crime,seth gordon,4.275,74.61
142,along came a spider,2001,r,crime,lee tamahori,5.025,74.61
143,lara croft tomb raider   the cradle of life,2003,pg-13,thriller,jan de bont,4.475,74.61
144,the expendables,2010,r,thriller,sylvester stallone,5.325,74.61
145,the ring two,2005,pg-13,thriller,hideo nakata,4.4,74.59
146,men in black,1997,pg-13,science fiction,barry sonnenfeld,7.675,74.59
147,red riding hood,2011,pg-13,horror,catherine hardwicke,3.825,74.58
148,maze runner the death cure,2018,pg-13,science fiction,wes ball,5.675,74.58
149,the emperors new groove,2000,g,fantasy,mark dindal,7.65,74.58
150,alvin and the chipmunks,2007,pg,fantasy,tim hill,4.45,74.58
151,congo,1995,pg-13,science fiction,frank marshall,3.825,74.57000000000001
152,tomorrow never dies,1997,pg-13,thriller,roger spottiswoode,5.95,74.56
153,oceans twelve,2004,pg-13,crime,steven soderbergh,6.1,74.55000000000001
154,scary movie 4,2006,pg-13,comedy,david zucker,4.5,74.55000000000001
155,xxx return of xander cage,2017,pg-13,crime,d.j. caruso,5.025,74.53999999999999
156,fast five,2011,pg-13,crime,justin lin,7.225,74.53999999999999
157,real steel,2011,pg-13,drama,shawn levy,6.425,74.53
158,what happens in vegas,2008,pg-13,comedy,tom vaughan,4.574999999999999,74.53
