Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1,treasure planet,2002,pg,science fiction,"ron clements, john musker",6.925,1.0
2,the princess and the frog,2009,g,fantasy,"ron clements, john musker",7.55,0.8008
3,moana,2016,pg,comedy,"ron clements, john musker, don hall",8.2,0.7862
4,lightyear,2022,pg,science fiction,angus maclane,6.625,0.7715
5,atlantis the lost empire,2001,pg,science fiction,"gary trousdale, kirk wise",5.975,0.764
6,home,2015,pg,fantasy,tim johnson,6.025,0.7615
7,wonder park,2019,pg,fantasy,dylan brown,5.1,0.7605
8,wall·e,2008,g,science fiction,andrew stanton,8.875,0.7597
9,monsters vs aliens,2009,pg,science fiction,"rob letterman, conrad vernon",6.375,0.7544
10,space jam,1996,pg,science fiction,joe pytka,5.9,0.7526
11,bolt,2008,pg,comedy,"byron howard, chris williams",7.25,0.752
12,the adventures of tintin,2011,pg,mystery,steven spielberg,7.125,0.7513
13,wreck it ralph,2012,pg,comedy,rich moore,7.725,0.7506
14,open season,2006,pg,comedy,"roger allers, jill culton, anthony stacchi",5.5,0.7505
15,edge of tomorrow,2014,pg-13,science fiction,doug liman,7.925,0.7501
16,sherlock gnomes,2018,pg,fantasy,john stevenson,4.35,0.7501
17,spirit stallion of the cimarron,2002,g,romance,"kelly asbury, lorna cook",6.75,0.7499
18,trolls world tour,2020,pg,music,"walt dohrn, david p. smith",6.425,0.7494
19,trolls,2016,pg,fantasy,"mike mitchell, walt dohrn",6.525,0.7493
20,hercules,2014,pg-13,action,brett ratner,5.575,0.749
21,smurfs the lost village,2017,pg,comedy,kelly asbury,5.1,0.7489
22,underworld awakening,2012,r,horror,"måns mårlind, björn stein",4.75,0.7481
23,brave,2012,pg,comedy,"mark andrews, brenda chapman, steve purcell",7.2,0.7479
24,legend of the guardians the owls of gahoole,2010,pg,fantasy,zack snyder,6.05,0.7477
25,fun with dick and jane,2005,pg-13,crime,dean parisot,5.025,0.7474
26,planet 51,2009,pg,science fiction,"jorge blanco, javier abad, marcos martínez",4.525,0.7471
27,four christmases,2008,pg-13,romance,seth gordon,4.525,0.7471
28,stuart little,1999,pg,comedy,rob minkoff,6.225,0.7464
29,onward,2020,pg,fantasy,dan scanlon,7.5,0.7463
30,elysium,2013,r,action,neill blomkamp,6.4,0.7462
31,megamind,2010,pg,action,tom mcgrath,6.975,0.7457
32,fantastic four rise of the silver surfer,2007,pg,science fiction,tim story,4.85,0.745
33,dr dolittle 2,2001,pg,romance,steve carr,4.75,0.7447
34,superhero movie,2008,pg-13,science fiction,craig mazin,3.725,0.7438
35,pokémon detective pikachu,2019,pg,action,rob letterman,6.375,0.7438
36,the time machine,2002,pg-13,science fiction,simon wells,4.825,0.7436
37,unstoppable,2010,pg-13,thriller,tony scott,7.25,0.7434
38,lemony snickets a series of unfortunate events,2004,pg,comedy,brad silberling,6.75,0.7431
39,rush hour 2,2001,pg-13,comedy,brett ratner,5.825,0.743
40,the spiderwick chronicles,2008,pg,fantasy,mark waters,6.85,0.7428
41,charlie and the chocolate factory,2005,pg,fantasy,tim burton,7.300000000000001,0.7428
42,ralph breaks the internet,2018,pg,comedy,"phil johnston, rich moore",7.525,0.7427
