Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1,the da vinci code,2006,pg-13,thriller,ron howard,5.1,1.0
2,angels  demons,2009,pg-13,thriller,ron howard,5.45,0.8119
3,inferno,2016,pg-13,mystery,ron howard,4.7,0.8016
4,far and away,1992,pg-13,romance,ron howard,5.825,0.7528
5,2012,2009,pg-13,action,roland emmerich,5.125,0.7498
6,jurassic world dominion,2022,pg-13,science fiction,colin trevorrow,4.75,0.7497
7,the league of extraordinary gentlemen,2003,pg-13,science fiction,stephen norrington,4.1,0.7452
8,troy,2004,r,war,wolfgang petersen,6.35,0.7447
9,flyboys,2006,pg-13,war,tony bill,5.3,0.7443
10,transformers dark of the moon,2011,pg-13,science fiction,michael bay,5.025,0.7439
11,the amazing spider man 2,2014,pg-13,action,marc webb,5.85,0.7436
12,national treasure,2004,pg,action,jon turteltaub,5.525,0.7433
13,insurgent,2015,pg-13,thriller,robert schwentke,4.925000000000001,0.7431
14,elvis,2022,pg-13,drama,baz luhrmann,7.225,0.742
15,assassins creed,2016,pg-13,science fiction,justin kurzel,4.125,0.7406
16,the batman,2022,pg-13,thriller,matt reeves,7.8,0.7399
17,the hobbit an unexpected journey,2012,pg-13,action,peter jackson,6.85,0.7396
18,the bounty hunter,2010,pg-13,romance,andy tennant,3.725,0.7391
19,backdraft,1991,r,thriller,ron howard,6.125,0.7391
20,fifty shades darker,2017,r,drama,james foley,3.875,0.739
21,the mummy,2017,pg-13,thriller,alex kurtzman,3.95,0.7377
22,holmes  watson,2018,pg-13,mystery,etan cohen,2.9,0.7375
23,star wars episode i   the phantom menace,1999,pg,science fiction,george lucas,5.85,0.7375
24,deep impact,1998,pg-13,action,mimi leder,5.225,0.7369
25,end of days,1999,r,fantasy,peter hyams,4.074999999999999,0.7368
26,transformers,2007,pg-13,science fiction,michael bay,6.425,0.7365
27,gone in sixty seconds,2000,pg-13,thriller,dominic sena,4.75,0.7364
28,couples retreat,2009,pg-13,romance,peter billingsley,3.6,0.7363
29,star wars episode ii   attack of the clones,2002,pg,action,george lucas,6.275,0.7363
30,the smurfs 2,2013,pg,comedy,raja gosnell,3.975,0.736
31,the expendables 3,2014,pg-13,thriller,patrick hughes,4.75,0.7359
32,vampires suck,2010,pg-13,fantasy,"jason friedberg, aaron seltzer",2.475,0.7354
33,valentines day,2010,pg-13,comedy,garry marshall,4.2,0.7353
34,zookeeper,2011,pg,romance,frank coraci,3.75,0.7352
35,lara croft tomb raider   the cradle of life,2003,pg-13,thriller,jan de bont,4.475,0.7352
36,grown ups 2,2013,pg-13,comedy,dennis dugan,3.55,0.7351
37,exodus gods and kings,2014,pg-13,action,ridley scott,5.025,0.7349
38,exorcist the beginning,2004,r,mystery,renny harlin,3.65,0.7348
39,allegiant,2016,pg-13,mystery,robert schwentke,4.05,0.7348
40,national treasure book of secrets,2007,pg,thriller,jon turteltaub,5.3,0.7347
41,kingsman the golden circle,2017,r,action,matthew vaughn,5.8,0.7346
42,the twilight saga breaking dawn   part 1,2011,pg-13,fantasy,bill condon,4.550000000000001,0.7344
