Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1,oceans eleven,2001,pg-13,thriller,steven soderbergh,7.700000000000001,100.0
2,oceans thirteen,2007,pg-13,thriller,steven soderbergh,6.7,84.43
3,oceans twelve,2004,pg-13,crime,steven soderbergh,6.1,84.11999999999999
4,out of sight,1998,r,romance,steven soderbergh,7.9,78.45
5,ticket to paradise,2022,pg-13,drama,ol parker,5.825,78.17
6,erin brockovich,2000,r,drama,steven soderbergh,7.65,77.82
7,contagion,2011,pg-13,thriller,steven soderbergh,7.225,77.66
8,sleeping with the enemy,1991,r,thriller,joseph ruben,5.0,77.59
9,what happens in vegas,2008,pg-13,comedy,tom vaughan,4.574999999999999,76.92999999999999
10,into the storm,2014,pg-13,thriller,steven quale,4.6,76.92999999999999
11,domestic disturbance,2001,pg-13,mystery,harold becker,4.15,76.72
12,burn after reading,2008,r,drama,"ethan coen, joel coen",6.95,76.68
13,next,2007,pg-13,science fiction,lee tamahori,4.825,76.4
14,my best friends wedding,1997,pg-13,romance,p.j. hogan,6.325,76.38000000000001
15,charlottes web,2006,g,fantasy,gary winick,6.8,76.34
16,dude wheres my car,2000,pg-13,romance,danny leiner,3.9,76.33
17,war of the worlds,2005,pg-13,science fiction,steven spielberg,6.975,76.19
18,oceans eight,2018,pg-13,crime,gary ross,6.575,76.18
19,ip man 4 the finale,2019,nr,drama,wilson yip,7.25,76.1
20,the american,2010,r,crime,anton corbijn,6.2,76.07000000000001
21,three kings,1999,r,war,david o. russell,7.85,76.06
22,intolerable cruelty,2003,pg-13,romance,"joel coen, ethan coen",6.725,76.02
23,secret window,2004,pg-13,mystery,david koepp,5.574999999999999,76.01
24,the gentlemen,2019,r,crime,guy ritchie,7.025,75.91
25,flightplan,2005,pg-13,drama,robert schwentke,5.45,75.91
26,notting hill,1999,pg-13,comedy,roger michell,7.425,75.91
27,signs,2002,pg-13,thriller,m. night shyamalan,6.725,75.9
28,the italian job,2003,pg-13,crime,f. gary gray,6.975,75.79
29,the angry birds movie,2016,pg,comedy,"clay kaytis, fergal reilly",5.3,75.76
30,the possession,2012,pg-13,horror,ole bornedal,5.075,75.68
31,mission impossible,1996,pg-13,thriller,brian de palma,6.65,75.67
32,the men who stare at goats,2009,r,war,grant heslov,5.675,75.64
33,jacobs ladder,1990,r,mystery,adrian lyne,7.050000000000001,75.63
34,batman returns,1992,pg-13,fantasy,tim burton,7.25,75.56
35,americas sweethearts,2001,pg-13,romance,joe roth,4.775,75.53
36,ad astra,2019,pg-13,science fiction,james gray,7.225,75.52
37,casper,1995,pg,comedy,brad silberling,5.65,75.49
38,the hangover part ii,2011,r,comedy,todd phillips,5.2,75.49
39,unbreakable,2000,pg-13,thriller,m. night shyamalan,6.9,75.48
40,non stop,2014,pg-13,mystery,jaume collet-serra,6.375,75.46000000000001
41,austin powers the spy who shagged me,1999,pg-13,crime,jay roach,6.05,75.44
42,a perfect murder,1998,r,crime,andrew davis,5.9,75.44
43,george of the jungle,1997,pg,comedy,sam weisman,5.475,75.42999999999999
44,the town,2010,r,thriller,ben affleck,7.825,75.38
45,minority report,2002,pg-13,thriller,steven spielberg,7.95,75.37
46,ant man,2015,pg-13,science fiction,peyton reed,7.25,75.35
47,working girl,1988,r,romance,mike nichols,7.25,75.33
48,under siege,1992,r,thriller,andrew davis,6.7250000000000005,75.33
49,along came polly,2004,pg-13,romance,john hamburg,4.775,75.32
50,horrible bosses,2011,r,comedy,seth gordon,6.525,75.32
51,rambo first blood part ii,1985,r,action,george p. cosmatos,5.275,75.29
52,payback,1999,r,crime,brian helgeland,6.025,75.29
53,flatliners,1990,r,horror,joel schumacher,5.9,75.27000000000001
54,creed iii,2023,pg-13,action,michael b. jordan,7.5,75.27000000000001
55,anaconda,1997,pg-13,horror,luis llosa,4.475,75.27000000000001
56,hail caesar,2016,pg-13,mystery,"ethan coen, joel coen",7.0,75.25
57,the scorpion king,2002,pg-13,drama,chuck russell,4.9,75.22
58,lethal weapon,1987,r,thriller,richard donner,7.425,75.21
59,allied,2016,r,thriller,robert zemeckis,6.475,75.18
60,underwater,2020,pg-13,horror,william eubank,5.45,75.18
61,mirror mirror,2012,pg,comedy,tarsem singh,5.275,75.17
62,the bourne supremacy,2004,pg-13,drama,paul greengrass,7.625,75.14999999999999
63,trance,2013,r,mystery,danny boyle,6.6,75.13
64,back to the future part ii,1989,pg,science fiction,robert zemeckis,6.9,75.09
65,o brother where art thou,2000,pg-13,crime,"joel coen, ethan coen",7.425,75.07000000000001
66,step up revolution,2012,pg-13,drama,scott speer,5.4,75.06
67,the lego batman movie,2017,pg,action,chris mckay,7.725,75.03
68,diamonds are forever,1971,pg,thriller,guy hamilton,6.300000000000001,75.02
69,the forgotten,2004,pg-13,thriller,joseph ruben,4.775,75.01
70,mr  mrs smith,2005,pg-13,drama,doug liman,6.175,75.0
71,beverly hills chihuahua,2008,pg,romance,raja gosnell,4.375,74.99
72,30 days of night,2007,r,horror,david slade,5.825,74.99
73,grease,1978,pg,romance,randal kleiser,7.05,74.98
74,cheaper by the dozen,2003,pg,comedy,shawn levy,4.8,74.98
75,michael clayton,2007,r,crime,tony gilroy,7.8,74.97
76,pitch perfect 3,2017,pg-13,comedy,trish sie,4.8,74.95
77,wanted,2008,r,action,timur bekmambetov,6.675,74.95
78,pretty woman,1990,r,comedy,garry marshall,6.525,74.94
79,the santa clause 2,2002,g,fantasy,michael lembeck,5.5,74.94
80,hustlers,2019,r,crime,lorene scafaria,7.375,74.92
81,megamind,2010,pg,action,tom mcgrath,6.975,74.9
82,daddys home,2015,pg-13,comedy,sean anders,4.95,74.9
83,mamma mia,2008,pg-13,romance,phyllida lloyd,6.025,74.9
84,life,2017,r,mystery,daniel espinosa,6.3,74.89
85,super 8,2011,pg-13,thriller,j.j. abrams,7.275,74.89
86,guy ritchies the covenant,2023,r,war,guy ritchie,7.475,74.87
87,spy game,2001,r,crime,tony scott,6.675,74.86
88,brick mansions,2014,pg-13,crime,camille delamarre,4.5,74.86
89,se7en,1995,r,mystery,david fincher,7.95,74.85000000000001
90,planes,2013,pg,comedy,klay hall,4.525,74.83999999999999
91,the fast and the furious,2001,pg-13,crime,rob cohen,6.275,74.83999999999999
92,bullet train,2022,r,thriller,david leitch,6.225,74.83999999999999
93,the village,2004,pg-13,drama,m. night shyamalan,5.45,74.82
