Rank,Title,Year,Age_Rating,Genre,Director,Average_Rating,Similarity_Score
1,the princess and the frog,2009,g,fantasy,"ron clements, john musker",7.55,100.0
2,moana,2016,pg,comedy,"ron clements, john musker, don hall",8.2,80.85
3,treasure planet,2002,pg,science fiction,"ron clements, john musker",6.925,79.99000000000001
4,charlottes web,2006,g,fantasy,gary winick,6.8,78.62
5,silent hill,2006,r,mystery,christophe gans,4.85,77.83
6,hellboy ii the golden army,2008,pg-13,fantasy,guillermo del toro,7.55,77.57
7,the butler,2013,pg-13,drama,lee daniels,7.025,77.4
8,planes,2013,pg,comedy,klay hall,4.525,77.34
9,a wrinkle in time,2018,pg,science fiction,ava duvernay,4.75,76.88000000000001
10,the santa clause 2,2002,g,fantasy,michael lembeck,5.5,76.51
11,poltergeist,2015,pg-13,horror,gil kenan,4.425000000000001,76.41
12,burlesque,2010,pg-13,romance,steve antin,5.5,76.39
13,the emperors new groove,2000,g,fantasy,mark dindal,7.65,76.23
14,the muppet movie,1979,g,music,james frawley,7.775,76.22
15,bolt,2008,pg,comedy,"byron howard, chris williams",7.25,76.07000000000001
16,robots,2005,pg,comedy,"chris wedge, carlos saldanha",6.425000000000001,76.06
17,herbie fully loaded,2005,g,romance,angela robinson,4.85,76.03999999999999
18,knowing,2009,pg-13,mystery,alex proyas,5.0,75.9
19,vanilla sky,2001,r,thriller,cameron crowe,5.6,75.88000000000001
20,mirror mirror,2012,pg,comedy,tarsem singh,5.275,75.86
21,dragon blade,2015,r,fantasy,daniel lee,5.0,75.84
22,season of the witch,2011,pg-13,fantasy,dominic sena,3.7,75.8
23,teenage mutant ninja turtles mutant mayhem,2023,pg,science fiction,"jeff rowe, kyler spears",7.825,75.79
24,the little prince,2015,pg,fantasy,mark osborne,7.85,75.79
25,batman returns,1992,pg-13,fantasy,tim burton,7.25,75.78
26,the island of dr moreau,1996,pg-13,horror,"john frankenheimer, richard stanley",3.875,75.74
27,50 first dates,2004,pg-13,comedy,peter segal,5.75,75.73
28,ai artificial intelligence,2001,pg-13,science fiction,steven spielberg,7.075,75.64999999999999
29,dragonheart,1996,pg-13,fantasy,rob cohen,5.7,75.64999999999999
30,public enemies,2009,r,drama,michael mann,6.85,75.62
31,ransom,1996,r,action,ron howard,6.7,75.61
32,ghost ship,2002,r,horror,steve beck,3.95,75.58
